Date,Time,GHI_clear,GHI
1/18,12,0,0
1/18,13,0,0
1/18,14,0,0
1/18,15,6,3
1/18,16,143,129
1/18,17,320,245
1/18,18,467,436
1/18,19,564,564
1/18,20,602,602
1/18,21,575,565
1/18,22,485,479
1/18,23,343,343
1/19,0,169,169
1/19,1,16,16
1/19,2,0,0
1/19,3,0,0
1/19,4,0,0
1/19,5,0,0
1/19,6,0,0
1/19,7,0,0
1/19,8,0,0
1/19,9,0,0
1/19,10,0,0
1/19,11,0,0
1/19,12,0,0
1/19,13,0,0
1/19,14,0,0
1/19,15,6,3
1/19,16,141,118
1/19,17,316,303
1/19,18,464,367
1/19,19,561,334
1/19,20,601,143
1/19,21,569,127
1/19,22,484,92
1/19,23,345,100
1/20,0,171,59
1/20,1,17,5
1/20,2,0,0
1/20,3,0,0
1/20,4,0,0
1/20,5,0,0
1/20,6,0,0
1/20,7,0,0
1/20,8,0,0
1/20,9,0,0
1/20,10,0,0
1/20,11,0,0
1/20,12,0,0
1/20,13,0,0
1/20,14,0,0
1/20,15,6,4
1/20,16,146,72
1/20,17,332,279
1/20,18,491,217
1/20,19,595,392
1/20,20,638,638
1/20,21,609,586
1/20,22,517,473
1/20,23,369,369
1/21,0,186,186
1/21,1,20,20
1/21,2,0,0
1/21,3,0,0
1/21,4,0,0
1/21,5,0,0
1/21,6,0,0
1/21,7,0,0
1/21,8,0,0
1/21,9,0,0
1/21,10,0,0
1/21,11,0,0
1/21,12,0,0
1/21,13,0,0
1/21,14,0,0
1/21,15,7,4
1/21,16,157,112
1/21,17,341,257
1/21,18,494,398
1/21,19,593,564
1/21,20,631,527
1/21,21,598,574
1/21,22,506,497
1/21,23,362,328
1/22,0,183,163
1/22,1,21,18
1/22,2,0,0
1/22,3,0,0
1/22,4,0,0
1/22,5,0,0
1/22,6,0,0
1/22,7,0,0
1/22,8,0,0
1/22,9,0,0
1/22,10,0,0
1/22,11,0,0
1/22,12,0,0
1/22,13,0,0
1/22,14,0,0
1/22,15,7,7
1/22,16,156,156
1/22,17,341,341
1/22,18,494,494
1/22,19,594,594
1/22,20,633,633
1/22,21,606,606
1/22,22,517,517
1/22,23,372,372
1/23,0,192,192
1/23,1,24,24
1/23,2,0,0
1/23,3,0,0
1/23,4,0,0
1/23,5,0,0
1/23,6,0,0
1/23,7,0,0
1/23,8,0,0
1/23,9,0,0
1/23,10,0,0
1/23,11,0,0
1/23,12,0,0
1/23,13,0,0
1/23,14,0,0
1/23,15,7,7
1/23,16,160,160
1/23,17,348,348
1/23,18,505,505
1/23,19,609,609
1/23,20,649,649
1/23,21,623,623
1/23,22,534,534
1/23,23,386,380
1/24,0,201,201
1/24,1,27,27
1/24,2,0,0
1/24,3,0,0
1/24,4,0,0
1/24,5,0,0
1/24,6,0,0
1/24,7,0,0
1/24,8,0,0
1/24,9,0,0
1/24,10,0,0
1/24,11,0,0
1/24,12,0,0
1/24,13,0,0
1/24,14,0,0
1/24,15,9,9
1/24,16,166,166
1/24,17,356,347
1/24,18,514,514
1/24,19,619,550
1/24,20,660,540
1/24,21,634,634
1/24,22,541,508
1/24,23,392,385
1/25,0,206,168
1/25,1,28,22
1/25,2,0,0
1/25,3,0,0
1/25,4,0,0
1/25,5,0,0
1/25,6,0,0
1/25,7,0,0
1/25,8,0,0
1/25,9,0,0
1/25,10,0,0
1/25,11,0,0
1/25,12,0,0
1/25,13,0,0
1/25,14,0,0
1/25,15,9,9
1/25,16,157,157
1/25,17,345,345
1/25,18,502,502
1/25,19,611,440
1/25,20,656,460
1/25,21,629,537
1/25,22,537,512
1/25,23,388,242
1/26,0,204,204
1/26,1,29,29
1/26,2,0,0
1/26,3,0,0
1/26,4,0,0
1/26,5,0,0
1/26,6,0,0
1/26,7,0,0
1/26,8,0,0
1/26,9,0,0
1/26,10,0,0
1/26,11,0,0
1/26,12,0,0
1/26,13,0,0
1/26,14,0,0
1/26,15,11,10
1/26,16,169,167
1/26,17,359,359
1/26,18,514,514
1/26,19,617,617
1/26,20,658,658
1/26,21,630,630
1/26,22,539,468
1/26,23,393,393
1/27,0,208,208
1/27,1,32,24
1/27,2,0,0
1/27,3,0,0
1/27,4,0,0
1/27,5,0,0
1/27,6,0,0
1/27,7,0,0
1/27,8,0,0
1/27,9,0,0
1/27,10,0,0
1/27,11,0,0
1/27,12,0,0
1/27,13,0,0
1/27,14,0,0
1/27,15,11,6
1/27,16,166,104
1/27,17,351,249
1/27,18,499,369
1/27,19,603,481
1/27,20,644,611
1/27,21,623,623
1/27,22,535,535
1/27,23,391,391
1/28,0,210,210
1/28,1,35,35
1/28,2,0,0
1/28,3,0,0
1/28,4,0,0
1/28,5,0,0
1/28,6,0,0
1/28,7,0,0
1/28,8,0,0
1/28,9,0,0
1/28,10,0,0
1/28,11,0,0
1/28,12,0,0
1/28,13,0,0
1/28,14,0,0
1/28,15,12,12
1/28,16,173,154
1/28,17,362,312
1/28,18,517,517
1/28,19,622,622
1/28,20,663,663
1/28,21,635,635
1/28,22,546,546
1/28,23,402,402
1/29,0,217,217
1/29,1,38,38
1/29,2,0,0
1/29,3,0,0
1/29,4,0,0
1/29,5,0,0
1/29,6,0,0
1/29,7,0,0
1/29,8,0,0
1/29,9,0,0
1/29,10,0,0
1/29,11,0,0
1/29,12,0,0
1/29,13,0,0
1/29,14,0,0
1/29,15,13,6
1/29,16,177,104
1/29,17,369,253
